Seed,Model,Dataset,Accuracy,AUC
7158,LogisticRegression,Training,0.7631578947368421,0.814404432132964
7158,LogisticRegression,Test,0.6190476190476191,0.6586538461538461
7158,RandomForest,Training,1.0,1.0
7158,RandomForest,Test,0.5476190476190477,0.5276442307692307
7158,GradientBoosting,Training,1.0,1.0
7158,GradientBoosting,Test,0.5714285714285714,0.6225961538461539
7158,SVC,Training,0.7368421052631579,0.8054016620498614
7158,SVC,Test,0.5952380952380952,0.6225961538461539
7158,MLPClassifier,Training,0.7631578947368421,0.8240997229916897
7158,MLPClassifier,Test,0.6190476190476191,0.6658653846153846
8932,LogisticRegression,Training,0.7105263157894737,0.7846260387811634
8932,LogisticRegression,Test,0.5952380952380952,0.7091346153846154
8932,RandomForest,Training,0.868421052631579,0.9632963988919668
8932,RandomForest,Test,0.6190476190476191,0.6430288461538461
8932,GradientBoosting,Training,0.75,0.7960526315789472
8932,GradientBoosting,Test,0.6190476190476191,0.6802884615384616
8932,SVC,Training,0.7368421052631579,0.7818559556786704
8932,SVC,Test,0.6190476190476191,0.6826923076923077
8932,MLPClassifier,Training,0.7368421052631579,0.7887811634349031
8932,MLPClassifier,Test,0.6428571428571429,0.6971153846153847
7518,LogisticRegression,Training,0.6842105263157895,0.7168458781362007
7518,LogisticRegression,Test,0.6428571428571429,0.839816933638444
7518,RandomForest,Training,0.9078947368421053,0.978494623655914
7518,RandomForest,Test,0.5476190476190477,0.5858123569794049
7518,GradientBoosting,Training,0.9342105263157895,0.996415770609319
7518,GradientBoosting,Test,0.5476190476190477,0.6418764302059496
7518,SVC,Training,0.6842105263157895,0.7125448028673835
7518,SVC,Test,0.5238095238095238,0.5423340961098398
7518,MLPClassifier,Training,0.7894736842105263,0.8881720430107527
7518,MLPClassifier,Test,0.5476190476190477,0.6407322654462242
7132,LogisticRegression,Training,0.6842105263157895,0.740662438336857
7132,LogisticRegression,Test,0.6904761904761905,0.8117913832199546
7132,RandomForest,Training,0.8157894736842105,0.937984496124031
7132,RandomForest,Test,0.5952380952380952,0.608843537414966
7132,GradientBoosting,Training,0.8552631578947368,0.9492600422832982
7132,GradientBoosting,Test,0.6190476190476191,0.6167800453514739
7132,SVC,Training,0.7236842105263158,0.7174066243833686
7132,SVC,Test,0.6428571428571429,0.6893424036281179
7132,MLPClassifier,Training,0.6973684210526315,0.740662438336857
7132,MLPClassifier,Test,0.6904761904761905,0.8140589569160998
6633,LogisticRegression,Training,0.6710526315789473,0.6909216909216909
