Model,Dataset,Accuracy,AUC
GradientBoosting,Test,0.5961904761904762,0.6504961698740068
GradientBoosting,Training,0.8569736842105263,0.9186215228050457
LogisticRegression,Test,0.6597619047619048,0.7512771529640293
LogisticRegression,Training,0.6928947368421052,0.7692214666418282
MLPClassifier,Test,0.6369047619047619,0.7094845796972403
MLPClassifier,Training,0.7365789473684211,0.8078275417301982
RandomForest,Test,0.6016666666666667,0.6585382869470661
RandomForest,Training,0.8506578947368421,0.9390946288938651
SVC,Test,0.6276190476190476,0.6689105960674876
SVC,Training,0.7072368421052632,0.7512036222555009
