Seed,Model,Dataset,Accuracy,AUC
3548,LogisticRegression,Training,0.7368421052631579,0.7893277893277894
3548,LogisticRegression,Test,0.6666666666666666,0.7552941176470589
3548,RandomForest,Training,0.8026315789473685,0.8974358974358975
3548,RandomForest,Test,0.5476190476190477,0.7188235294117646
3548,GradientBoosting,Training,0.75,0.8562023562023562
3548,GradientBoosting,Test,0.5476190476190477,0.6388235294117647
3548,SVC,Training,0.6973684210526315,0.7643797643797644
3548,SVC,Test,0.6666666666666666,0.7505882352941177
3548,MLPClassifier,Training,0.7105263157894737,0.7941787941787941
3548,MLPClassifier,Test,0.6190476190476191,0.7647058823529412
4090,LogisticRegression,Training,0.6842105263157895,0.7707317073170731
4090,LogisticRegression,Test,0.6904761904761905,0.7528604118993135
4090,RandomForest,Training,0.75,0.9010452961672474
4090,RandomForest,Test,0.6190476190476191,0.72883295194508
4090,GradientBoosting,Training,0.7631578947368421,0.8439024390243902
4090,GradientBoosting,Test,0.6428571428571429,0.7116704805491991
4090,SVC,Training,0.7105263157894737,0.7700348432055749
4090,SVC,Test,0.6190476190476191,0.6064073226544622
4090,MLPClassifier,Training,0.7105263157894737,0.7756097560975609
4090,MLPClassifier,Test,0.6666666666666666,0.7414187643020594
3925,LogisticRegression,Training,0.7105263157894737,0.778397212543554
3925,LogisticRegression,Test,0.6190476190476191,0.7093821510297483
3925,RandomForest,Training,0.9210526315789473,0.9783972125435539
3925,RandomForest,Test,0.6190476190476191,0.5709382151029748
3925,GradientBoosting,Training,0.9342105263157895,0.9878048780487805
3925,GradientBoosting,Test,0.6190476190476191,0.665903890160183
3925,SVC,Training,0.7236842105263158,0.789547038327526
3925,SVC,Test,0.6428571428571429,0.6842105263157895
3925,MLPClassifier,Training,0.6973684210526315,0.7790940766550523
3925,MLPClassifier,Test,0.6190476190476191,0.7070938215102974
3545,LogisticRegression,Training,0.7105263157894737,0.7659722222222222
3545,LogisticRegression,Test,0.7142857142857143,0.7685185185185186
