Seed,Model,Dataset,Accuracy,AUC
7558,LogisticRegression,Training,0.7125,0.7350000000000001
7558,LogisticRegression,Test,0.75,0.8120300751879699
7558,RandomForest,Training,0.85,0.9503125
7558,RandomForest,Test,0.75,0.7406015037593985
7558,GradientBoosting,Training,0.7625,0.86125
7558,GradientBoosting,Test,0.725,0.7431077694235589
7558,SVC,Training,0.6875,0.731875
7558,SVC,Test,0.75,0.8145363408521303
7558,MLPClassifier,Training,0.6875,0.7362500000000001
7558,MLPClassifier,Test,0.75,0.8120300751879699
4032,LogisticRegression,Training,0.6625,0.69375
4032,LogisticRegression,Test,0.7608695652173914,0.825
4032,RandomForest,Training,0.8125,0.8881249999999999
4032,RandomForest,Test,0.782608695652174,0.8105769230769231
4032,GradientBoosting,Training,0.6875,0.8071875
4032,GradientBoosting,Test,0.7391304347826086,0.7634615384615384
4032,SVC,Training,0.625,0.6984374999999999
4032,SVC,Test,0.7608695652173914,0.8115384615384615
4032,MLPClassifier,Training,0.6625,0.6981249999999999
4032,MLPClassifier,Test,0.7608695652173914,0.8192307692307692
8458,LogisticRegression,Training,0.75,0.79375
8458,LogisticRegression,Test,0.5777777777777777,0.6518218623481781
8458,RandomForest,Training,0.825,0.9337500000000001
8458,RandomForest,Test,0.5555555555555556,0.6022267206477733
8458,GradientBoosting,Training,0.8,0.9134374999999999
8458,GradientBoosting,Test,0.5555555555555556,0.6467611336032388
8458,SVC,Training,0.7,0.7903125
8458,SVC,Test,0.5777777777777777,0.6518218623481781
8458,MLPClassifier,Training,0.775,0.796875
8458,MLPClassifier,Test,0.5777777777777777,0.6558704453441295
7904,LogisticRegression,Training,0.6875,0.7862499999999999
7904,LogisticRegression,Test,0.5853658536585366,0.745
7904,RandomForest,Training,0.85,0.9162499999999999
7904,RandomForest,Test,0.5853658536585366,0.6749999999999999
7904,GradientBoosting,Training,0.8,0.8903125000000001
7904,GradientBoosting,Test,0.5853658536585366,0.66375
7904,SVC,Training,0.6875,0.2103125
7904,SVC,Test,0.5853658536585366,0.245
7904,MLPClassifier,Training,0.725,0.805625
7904,MLPClassifier,Test,0.6341463414634146,0.7100000000000001
1515,LogisticRegression,Training,0.7125,0.771875
1515,LogisticRegression,Test,0.7,0.7518796992481203
1515,RandomForest,Training,0.7625,0.908125
1515,RandomForest,Test,0.625,0.7105263157894737
1515,GradientBoosting,Training,0.775,0.851875
1515,GradientBoosting,Test,0.625,0.7142857142857142
1515,SVC,Training,0.7125,0.24249999999999997
1515,SVC,Test,0.7,0.2556390977443609
1515,MLPClassifier,Training,0.7125,0.7737499999999999
1515,MLPClassifier,Test,0.7,0.7443609022556391
3059,LogisticRegression,Training,0.6875,0.78625
3059,LogisticRegression,Test,0.6666666666666666,0.726984126984127
3059,RandomForest,Training,0.9125,0.9774999999999999
3059,RandomForest,Test,0.4444444444444444,0.5666666666666667
3059,GradientBoosting,Training,0.7375,0.8293750000000001
3059,GradientBoosting,Test,0.5555555555555556,0.6761904761904761
3059,SVC,Training,0.6875,0.784375
3059,SVC,Test,0.6111111111111112,0.7238095238095238
3059,MLPClassifier,Training,0.7,0.79125
3059,MLPClassifier,Test,0.7222222222222222,0.7238095238095238
8143,LogisticRegression,Training,0.7,0.7362500000000001
8143,LogisticRegression,Test,0.5897435897435898,0.7671957671957672
8143,RandomForest,Training,0.8375,0.933125
8143,RandomForest,Test,0.5897435897435898,0.5727513227513228
8143,GradientBoosting,Training,0.8,0.8612500000000001
8143,GradientBoosting,Test,0.6153846153846154,0.6613756613756614
8143,SVC,Training,0.6875,0.283125
8143,SVC,Test,0.5384615384615384,0.2698412698412698
8143,MLPClassifier,Training,0.8,0.889375
8143,MLPClassifier,Test,0.5641025641025641,0.6005291005291006
1620,LogisticRegression,Training,0.6625,0.713125
1620,LogisticRegression,Test,0.7272727272727273,0.7950310559006212
1620,RandomForest,Training,0.8,0.8793749999999999
1620,RandomForest,Test,0.6590909090909091,0.7412008281573499
1620,GradientBoosting,Training,0.725,0.8278125
1620,GradientBoosting,Test,0.6818181818181818,0.7194616977225673
1620,SVC,Training,0.65,0.28531249999999997
1620,SVC,Test,0.75,0.20496894409937888
1620,MLPClassifier,Training,0.65,0.7175
1620,MLPClassifier,Test,0.6590909090909091,0.7701863354037267
7573,LogisticRegression,Training,0.65,0.76375
7573,LogisticRegression,Test,0.7272727272727273,0.7720588235294117
7573,RandomForest,Training,0.8625,0.9775
7573,RandomForest,Test,0.7272727272727273,0.7040441176470588
7573,GradientBoosting,Training,0.75,0.8209374999999999
7573,GradientBoosting,Test,0.696969696969697,0.7261029411764706
7573,SVC,Training,0.65,0.23625000000000002
7573,SVC,Test,0.7272727272727273,0.23529411764705882
7573,MLPClassifier,Training,0.675,0.7675000000000001
7573,MLPClassifier,Test,0.7575757575757576,0.7720588235294117
9849,LogisticRegression,Training,0.6875,0.80375
9849,LogisticRegression,Test,0.5714285714285714,0.6833333333333333
9849,RandomForest,Training,0.825,0.919375
9849,RandomForest,Test,0.5142857142857142,0.6566666666666667
9849,GradientBoosting,Training,0.8,0.888125
9849,GradientBoosting,Test,0.4857142857142857,0.64
9849,SVC,Training,0.7875,0.8368749999999999
9849,SVC,Test,0.4857142857142857,0.5566666666666666
9849,MLPClassifier,Training,0.8,0.8525
9849,MLPClassifier,Test,0.4857142857142857,0.62
7651,LogisticRegression,Training,0.7125,0.7843749999999999
7651,LogisticRegression,Test,0.6590909090909091,0.7770114942528734
7651,RandomForest,Training,0.8,0.9025000000000001
7651,RandomForest,Test,0.6363636363636364,0.8057471264367817
7651,GradientBoosting,Training,0.75,0.8396875
7651,GradientBoosting,Test,0.6590909090909091,0.7448275862068965
7651,SVC,Training,0.6875,0.7806249999999999
7651,SVC,Test,0.7045454545454546,0.7770114942528734
7651,MLPClassifier,Training,0.7,0.784375
7651,MLPClassifier,Test,0.6590909090909091,0.7655172413793103
2863,LogisticRegression,Training,0.6625,0.766875
2863,LogisticRegression,Test,0.6428571428571429,0.7022727272727273
2863,RandomForest,Training,0.8375,0.923125
2863,RandomForest,Test,0.6190476190476191,0.6193181818181818
2863,GradientBoosting,Training,0.95,0.98875
2863,GradientBoosting,Test,0.5714285714285714,0.6784090909090909
2863,SVC,Training,0.675,0.765625
2863,SVC,Test,0.5952380952380952,0.7
2863,MLPClassifier,Training,0.8375,0.936875
2863,MLPClassifier,Test,0.5238095238095238,0.5590909090909091
5149,LogisticRegression,Training,0.6125,0.755
5149,LogisticRegression,Test,0.6764705882352942,0.7301587301587302
