Seed,Model,Dataset,Accuracy,AUC
5592,LogisticRegression,Training,0.7,0.75625
5592,LogisticRegression,Test,0.6590909090909091,0.7094017094017094
5592,RandomForest,Training,0.7875,0.88375
5592,RandomForest,Test,0.6136363636363636,0.7019230769230769
5592,GradientBoosting,Training,0.725,0.8300000000000002
5592,GradientBoosting,Test,0.6590909090909091,0.7147435897435898
5592,SVC,Training,0.6625,0.6175
5592,SVC,Test,0.6363636363636364,0.6452991452991452
5592,MLPClassifier,Training,0.7125,0.755625
5592,MLPClassifier,Test,0.6590909090909091,0.7136752136752136
7615,LogisticRegression,Training,0.7375,0.7699999999999999
7615,LogisticRegression,Test,0.625,0.7619047619047619
7615,RandomForest,Training,0.8625,0.9528125000000001
7615,RandomForest,Test,0.625,0.6591478696741856
7615,GradientBoosting,Training,0.7625,0.855
7615,GradientBoosting,Test,0.65,0.6992481203007519
7615,SVC,Training,0.7125,0.22874999999999995
7615,SVC,Test,0.625,0.23809523809523808
7615,MLPClassifier,Training,0.6875,0.769375
7615,MLPClassifier,Test,0.675,0.7644110275689223
8492,LogisticRegression,Training,0.7375,0.7887500000000001
8492,LogisticRegression,Test,0.6585365853658537,0.7004830917874396
8492,RandomForest,Training,0.925,0.985625
8492,RandomForest,Test,0.5365853658536586,0.5845410628019323
8492,GradientBoosting,Training,0.7625,0.8521875000000001
8492,GradientBoosting,Test,0.6341463414634146,0.6461352657004831
8492,SVC,Training,0.7,0.788125
8492,SVC,Test,0.6097560975609756,0.7125603864734299
8492,MLPClassifier,Training,0.7375,0.788125
8492,MLPClassifier,Test,0.6341463414634146,0.7053140096618358
9966,LogisticRegression,Training,0.725,0.79
9966,LogisticRegression,Test,0.625,0.6625
9966,RandomForest,Training,0.825,0.9271874999999999
9966,RandomForest,Test,0.6,0.67625
9966,GradientBoosting,Training,0.925,0.9950000000000001
9966,GradientBoosting,Test,0.625,0.7
9966,SVC,Training,0.675,0.730625
9966,SVC,Test,0.6,0.6275
9966,MLPClassifier,Training,0.725,0.79125
9966,MLPClassifier,Test,0.65,0.67
1889,LogisticRegression,Training,0.6625,0.765625
1889,LogisticRegression,Test,0.6756756756756757,0.760233918128655
1889,RandomForest,Training,0.875,0.9624999999999999
1889,RandomForest,Test,0.5675675675675675,0.6023391812865497
1889,GradientBoosting,Training,0.9625,0.99375
1889,GradientBoosting,Test,0.5405405405405406,0.6023391812865497
1889,SVC,Training,0.8625,0.8843749999999999
1889,SVC,Test,0.5675675675675675,0.5292397660818713
1889,MLPClassifier,Training,0.8875,0.9675
1889,MLPClassifier,Test,0.5135135135135135,0.5394736842105263
9125,LogisticRegression,Training,0.6875,0.7456250000000001
9125,LogisticRegression,Test,0.6896551724137931,0.768421052631579
9125,RandomForest,Training,0.9,0.9800000000000001
9125,RandomForest,Test,0.5517241379310345,0.6631578947368421
9125,GradientBoosting,Training,0.9125,0.99
9125,GradientBoosting,Test,0.5172413793103449,0.6631578947368422
9125,SVC,Training,0.75,0.78
9125,SVC,Test,0.5862068965517241,0.7421052631578947
9125,MLPClassifier,Training,0.7375,0.8012500000000001
9125,MLPClassifier,Test,0.6206896551724138,0.6842105263157895
5770,LogisticRegression,Training,0.7125,0.808125
5770,LogisticRegression,Test,0.5,0.5563909774436091
5770,RandomForest,Training,0.8625,0.936875
5770,RandomForest,Test,0.525,0.5150375939849624
5770,GradientBoosting,Training,0.7875,0.895625
5770,GradientBoosting,Test,0.55,0.5426065162907269
5770,SVC,Training,0.6375,0.66625
5770,SVC,Test,0.525,0.481203007518797
5770,MLPClassifier,Training,0.7375,0.808125
5770,MLPClassifier,Test,0.575,0.568922305764411
1795,LogisticRegression,Training,0.675,0.746875
1795,LogisticRegression,Test,0.6666666666666666,0.7859531772575251
1795,RandomForest,Training,0.9,0.968125
1795,RandomForest,Test,0.6388888888888888,0.6287625418060201
