Model,Dataset,Accuracy,AUC
GradientBoosting,Test,0.6169047619047618,0.6654249382463645
GradientBoosting,Training,0.8673684210526317,0.925751682082427
LogisticRegression,Test,0.67,0.7610534801335807
LogisticRegression,Training,0.695657894736842,0.7646897977346009
MLPClassifier,Test,0.6566666666666667,0.7347495670216388
MLPClassifier,Training,0.7209210526315789,0.7891817548491656
RandomForest,Test,0.6076190476190476,0.6687903679283498
RandomForest,Training,0.8542105263157894,0.93743874679161
SVC,Test,0.6395238095238096,0.6575676850227292
SVC,Training,0.6985526315789474,0.7313981652024747
