Model,Dataset,Accuracy,AUC
GradientBoosting,Test,0.6107682528602392,0.6553975033904078
GradientBoosting,Training,0.8638750000000001,0.920965625
LogisticRegression,Test,0.6851008470918404,0.7498533329982674
LogisticRegression,Training,0.6857500000000001,0.7522249999999999
MLPClassifier,Test,0.6516191463859917,0.714740314953696
MLPClassifier,Training,0.7190000000000001,0.7810812500000001
RandomForest,Test,0.6101609030638229,0.6608171474853742
RandomForest,Training,0.852125,0.9350281250000001
SVC,Test,0.6573990418721626,0.5372212659990447
SVC,Training,0.6913750000000001,0.5729375
