Model,Dataset,Accuracy,AUC
GradientBoosting,Test,0.6196621939087259,0.6638935602839539
GradientBoosting,Training,0.8122499999999999,0.8913781249999999
LogisticRegression,Test,0.6671390242980983,0.735044942537256
LogisticRegression,Training,0.696875,0.75944375
MLPClassifier,Test,0.6608748971554373,0.7281148776363285
MLPClassifier,Training,0.703,0.7641249999999999
RandomForest,Test,0.6009177196062813,0.6479852272077558
RandomForest,Training,0.84625,0.9377875
SVC,Test,0.6357096159283789,0.602052468239162
SVC,Training,0.689875,0.635375
