Seed,Model,Dataset,Accuracy,AUC
1488,LogisticRegression,Training,0.7368421052631579,0.8238636363636364
1488,LogisticRegression,Test,0.5952380952380952,0.6613636363636364
1488,RandomForest,Training,0.9078947368421053,0.9765625
1488,RandomForest,Test,0.5,0.6227272727272727
1488,GradientBoosting,Training,1.0,1.0
1488,GradientBoosting,Test,0.5238095238095238,0.5215909090909091
1488,SVC,Training,0.75,0.8153409090909092
1488,SVC,Test,0.5952380952380952,0.6545454545454545
1488,MLPClassifier,Training,0.75,0.8231534090909092
1488,MLPClassifier,Test,0.5952380952380952,0.6613636363636364
