Model,Dataset,Accuracy,AUC
GradientBoosting,Test,0.5238095238095238,0.5215909090909091
GradientBoosting,Training,1.0,1.0
LogisticRegression,Test,0.5952380952380952,0.6613636363636364
LogisticRegression,Training,0.7368421052631579,0.8238636363636364
MLPClassifier,Test,0.5952380952380952,0.6613636363636364
MLPClassifier,Training,0.75,0.8231534090909092
RandomForest,Test,0.5,0.6227272727272727
RandomForest,Training,0.9078947368421053,0.9765625
SVC,Test,0.5952380952380952,0.6545454545454545
SVC,Training,0.75,0.8153409090909092
